title,author,rating,ratingnum,categories,INFOCARD,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31
Vanilla milkshake,Good Food team,4.3,5,Vegetarian,"Serves 4
Easy
Prep: 10 mins
no cook",4,200g vanilla ice cream,500ml semi-skimmed milk or whole milk,2 tsp vanilla extract,"melted white chocolate and sprinkles, to serve (optional)",NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/vanilla-milkshake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brookies,Good Food team,4.2,5,NA,"Easy
Prep: 20 mins
Cook: 55 mins
plus 30 mins chilling and cooling",15,"120g/4½oz unsalted butter softened, plus extra for the tin",120g/4½oz light brown soft sugar,100g/4oz dark muscovado sugar,1 large egg plus 1 egg yolk,250g/9oz plain flour,½ tsp bicarbonate of soda,50g/2oz milk chocolate chunks,185g/6½oz unsalted butter,185g/6½oz dark chocolate (at least 70% cocoa solids),BBC Good Food,https://www.bbcgoodfood.com/recipes/brookies,3 large eggs,1 tsp vanilla extract,275g/10oz golden caster sugar,50g/2oz cocoa powder,130g/5oz plain flour,50g/2oz milk chocolate chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten-free salted caramel millionaire's shortbread,Esther Clark,5,5,NA,"Serves 16
Easy
Prep: 5 mins
Cook: 40 mins
plus 3 hrs chilling",10,150g unsalted butter plus extra for the tin,300g gluten-free plain flour,100g caster sugar,250g cold salted butter cubed,6 tbsp light muscovado sugar,4 tbsp golden syrup,390g can condensed milk,1 heaped tsp sea salt,200g milk chocolate,BBC Good Food,https://www.bbcgoodfood.com/recipes/gluten-free-salted-caramel-millionaires-shortbread,100g white chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhubarb & custard scones,Liberty Mendez,5,5,Vegetarian,"Makes 6
More effort
Prep: 20 mins
Cook: 22 mins
plus chilling",13,300g self-raising flour plus extra for dusting,50g custard powder,1 tsp baking powder,50g caster sugar,95g cold unsalted butter cut into cubes,150-175ml  whole milk,1 egg beaten,clotted cream to serve,250g rhubarb roughly chopped (or use chopped frozen rhubarb),BBC Good Food,https://www.bbcgoodfood.com/recipes/rhubarb-custard-scones,100g  caster or granulated sugar,1 lemon zested,½ tsp vanilla bean paste,drop of red food colouring gel (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sticky onion & cheddar quiche,Barney Desmazery,4.8,5,Vegetarian,"Slices into 8
Easy
Prep: 40 mins
Cook: 40 mins",7,25g butter,"500g small onion (about 5 in total), halved and finely sliced",2 eggs,284ml pot double cream,140g mature cheddar coarsely grated,280g plain flour plus extra for dusting,140g cold butter,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/sticky-onion-cheddar-quiche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White chocolate berry cheesecake,Good Food team,4.7,5,NA,"Serves 8
Easy
Prep: 25 mins
Plus 6 hrs or overnight chilling",9,2 x 150g bars white chocolate,2 x 300g tubs soft cheese,284ml pot double cream,50g caster sugar,170g punnet raspberries,5 tbsp raspberry jam,85g amaretti biscuits,200g small strawberries,a few blueberries (optional),BBC Good Food,https://www.bbcgoodfood.com/recipes/white-chocolate-berry-cheesecake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snowman biscuits,Lulu Grimes,4.3,5,"Freezable (Un-iced only)
Vegetarian","Makes 20
Easy
Prep: 1 hr
Cook: 14 mins
Plus chilling and setting",10,125g butter softened,125g golden caster sugar,1 egg beaten,1 tsp vanilla extract,250g plain flour plus extra for dusting,400g white fondant icing,icing sugar for dusting,"100g pack mixed red, yellow, black and blue ready-to-roll icing",tube white icing for sticking,BBC Good Food,https://www.bbcgoodfood.com/recipes/snowman-biscuits,tube black icing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-cook goat's cheese pizza,Good Food team,3.6,5,NA,"Serves 4 - 6
Easy
Prep: 10 mins",6,1 round focaccia loaf or long ciabatta,200g tub marinated grilled red and yellow peppers in olive oil,3 tbsp pesto,85g bag watercress,100g soft goat's cheese,handful black olives,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/no-cook-goats-cheese-pizza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spider biscuits,Lulu Grimes,4.7,5,Vegetarian,"Makes 20
Easy
Prep: 25 mins
Cook: 12 mins
Plus cooling and setting",10,70g butter softened,50g peanut butter,150g golden caster sugar,1 medium egg,1 tsp vanilla extract,180g plain flour,½ tsp bicarbonate of soda,20 peanut butter cups Rolos or Maltesers,100g milk chocolate chopped,BBC Good Food,https://www.bbcgoodfood.com/recipes/spider-biscuits,icing eyes or make your own,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooking fresh crab,Gordon Ramsay,5,5,NA,"Serves 4
Easy
Cook: 30 mins",13,2 leeks,2 carrots,1 onion,1 celery stick,1small fennel bulb,"1 garlic head, halved","large sprig each  basil thyme, tarragon and parsley",20g rock salt,1 lemon sliced,BBC Good Food,https://www.bbcgoodfood.com/recipes/cooking-fresh-crab,2ml white wine vinegar,2 star anise,300ml dry white wine,1whole fresh  crab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry & white chocolate mousse cake,Jane Hornby,4.8,5,Freezable,"Serves 8-10
Easy
Prep: 30 mins
Cook: 2 mins
Plus chilling overnight",6,175g digestive biscuits,75g /2½ oz butter melted,400g white chocolate,400g strawberries,300g tub full-fat soft cheese,200ml double cream,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/strawberry-white-chocolate-mousse-cake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millionaire’s ice cream bombe,Cassie Best,4.8,5,Freezable,"Serves 10 - 12
More effort
Prep: 1 hr and 15 mins
plus 9 hrs freezing",10,250g digestive biscuits,50g butter melted,200g dulce de leche or canned caramel,200g chocolate ice cream (not soft-serve),300g ice cream,4 x 121g bags chocolate coated malt balls,150ml double cream,200g bar dark chocolate finely chopped,holly to decorate (optional),BBC Good Food,https://www.bbcgoodfood.com/recipes/millionaires-ice-cream-bombe,icing sugar to serve (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
